row_id,content,theme,sentiment_word,sentiment_anls
58,收到货，还没用，份量好少！！用后再来评,份量;,好少;,-1;
59,确实是纯天然，没味道。,,,
60,目前使用过程中对焦还可以！就是外面的做工有些欠佳！,做工;对焦;,欠佳;还可以;,-1;1;
61,这怎么跟旧的一样，小黑瓶都快成小白瓶了，封口感觉也开过,小黑瓶;NULL;,快;旧;,1;-1;
62,**的售后，**的质量，本来是冲着你质量来的，一个充电线都这么**你叫我怎么相信你做手机？要售后没售后，怪不得干不过vo，本人拿祖宗发誓绝不是外力破坏，正常使用充电线！这售后玩蛇吧你！看来京东质量也不怎样！,使用;质量;NULL;NULL;,正常;不怎样;不是破坏;干;,1;-1;1;-1;
63,流动警署60044——积木块太小，设计玩的孩子年龄跨度太大（5-12岁），一个未上小学的孩子和一个小学快要毕业的孩子玩这同一积木？5岁孩子玩不了。其二价格太高。,价格;,太高;,-1;
64,收到货之后拆开看了一下，机子不像是正品。原因有2：1，底刻火苗好像是一个不是两个。2，日期是13年1月份。但月份是阿拉伯数字而不是英文字母A。 总体来说我感觉不像是正品，内胆比较松很轻易的拔出来打开盖子也会出来一点。盖子铰链也比较松会活动。没有纸封。 亚马逊这次购物是比较失望的。 后续，机子是正品月份不是1月而是9月，大写I。但其他问题依然如此。,内胆;机子;机子;购物;感觉;,很轻;不是正品;不正品;失望;不正品;,1;-1;-1;-1;-1;
65,2月12日买的东西，发货抽屉左右板发错了，期间换过一次货又是错的，再换货到现在没有处理，关闭了处理窗口，以至于现在整个东西堆在家里不能用废掉，都不知道怎么处理,抽屉;NULL;NULL;,发错;次货;错;,-1;-1;-1;
66,差评差评差评差评差评差评差评！！！！！,NULL;,差评;,-1;
67,根本没有化妆棉，骗子,,,
68,好难喝，都没奶粉味,NULL;,好难;,-1;
69,不怎么样、一般般,NULL;NULL;,一般般;不怎么样;,0;-1;
70,用了脸痛，不是正品，以后不会来了，,NULL;NULL;,不是正品;痛;,-1;-1;
71,不要在这个打底裤了好差里面比外面长。,NULL;外面;NULL;,不要好;长;差;,-1;1;-1;
72,广告很夸张 哈哈 但其实味道也不是特别Man 跟地板蜡一样味道 额。。,广告;,夸张;,-1;
73,帮家里人买的，感觉还行,感觉;,还行;,1;
74,一直哦尝试各种产品去黑头，效果都不理想，这款用了，效果还是有的，比之前干净,NULL;,干净;,1;
75,书不是很新了！不过，内容还可以,书;内容;,不是很新;还可以;,-1;1;
76,垃圾啊，抹了逗逗变多了，垃圾产品,产品;NULL;,垃圾;垃圾;,-1;-1;
77,挺方便，希望耐用一些。用料一般。,NULL;用料;NULL;,耐用;一般;方便;,1;0;1;
78,asdasdasdasdasdasdasdasdasd,,,
79,效果肯定不比大牌差 但是不如焗油膏效果好,大牌;效果;,差;好;,-1;1;
80,东西看上去不错，物流也很快，不过，为什么缺少标配中的取架？商家，怎么办？？？,看上去;物流;NULL;,不错;很快;标配;,1;1;0;
81,怎么充不满电呀,NULL;,不满;,-1;
82,很满意，用着很方便，质量不错，比较精致，满意,用着;质量;NULL;NULL;,方便;不错;精致;满意;,1;1;1;1;
83,只有螺丝是金属的，还有个关节是坏的，色彩也掉了，感觉被坑。站不稳,感觉;NULL;,坑;坏;,-1;-1;
84,买的时候标题写着SPF30，结果发来的是55，比较油腻，不像介绍说的那样清爽，而且哪里防水了？根本就不防水好吗？而且有点刺激性，敏感肌肤还是注意一下，唯一抱希望的就是希望防晒效果能好一点了，但是这个没办法太直接的看出来,肌肤;介绍;NULL;,敏感;清爽;油腻;,1;1;-1;
85,电脑收到的，质量很好，图像很清淅，版型很好看，而且又是创维牌的，实体店是买不到的，安装也很简单，包装特别的好！赞 5星[追评],安装;质量;NULL;版型;包装;,简单;很好;赞;很好;好;,1;1;1;1;1;
86,太次了，根本没法用，手机放进去根本卡不紧，一直晃荡，侧面的音量键和开机键位置也不好，侧面随便按哪都会触发开机键,NULL;侧面;NULL;手机;位置;,次;随便;没法用;不卡;不好;,-1;-1;-1;1;-1;
87,与挂图的包装不一样。,,,
88,试用了几天，目前一切正常，经专家鉴定是正品，物美价廉，值得点赞。,NULL;NULL;NULL;NULL;,物美价廉;正品;点赞;值得;,1;1;1;1;
89,很满意的一次购物  。[追评],购物;,满意;,1;
90,看着不错，但塑料的用料做工太一般，用了一次，手柄就开裂，连个水壶都做不好，还是得*货去。,做工;看着;水壶;,一般;不错;不好;,0;1;-1;
91,用了几天才来评论，当天抢的，第二天就到了，系统很流畅，不知道用久了怎样，屏幕也很大，就是喜欢它大屏幕的来玩游戏。先这样看看吧！到时再追评吧,系统;NULL;屏幕;玩游戏;,流畅;久;很大;喜欢;,1;0;1;1;
92,还行，用了几天没什么,NULL;,还行;,1;
93,这应该是在京东上最闹心的一次购物经历了！！！春节前买酒送长辈本为尽一份绵薄的敬意和孝心。买了4箱酒是为了分别给4个长辈，结果你们只发了3箱。长辈以为我由于各种原因故意少买一箱，也不好意思来问我为什么少买，就把三箱酒分别给了另外三个长辈。自己春节没有足够的酒喝，还得现买（本来指望我这酒呢）。直到春节去拜年才发现了问题，然后大过年跟你们一通折腾。尼*玛大过年的闹心不？还得被长辈给责怪。干个活能认真点吗？被你们伤害了一个春节！,京东;NULL;NULL;酒;酒;NULL;,闹心;认真;不闹心;敬意;没有足够;干;,-1;1;1;1;-1;-1;
94,很不错，就是小小的，大一点就好了,NULL;NULL;NULL;,不错;小小的;好;,1;-1;1;
95,去年夏天买的、人懒、一直没来评论,,,
96,收到后，感觉像是打开过的，盖子很松，袋子里都是眼霜的味道！！ 果然还是京东好些，最起码人包装没问题！客服态度也是超好的！,客服态度;,超好;,1;
97,用了几天后就出现问题了，垃圾产品，即不会自动删除，还一直死机，天冷的时候居然还卡住画面了，和卖家联系，叫我格式化内存卡，我都格式化n+1遍了，还是不行，这不得不说产品质量的问题了，希望大家慎重购买。,NULL;购买;画面;产品;,不行;慎重;卡住;垃圾;,-1;-1;-1;-1;
98,宝贝收到了。工艺精致很出气质，包装也很大气，很满意。给五星。 　</br>,包装;NULL;工艺;NULL;,很大;五星;精致;满意;,1;1;1;1;
99,外观不错，秀气，就是太小了点。,外观;NULL;NULL;,不错;秀气;小了点;,1;1;-1;
100,商品很给力 送货快 服务好,服务;送货;商品;,好;快;给力;,1;1;1;
101,草莓鼻， 感觉控油挺好 用后皮肤未见过敏或干燥（我在南方） 能维持二十四个小时 一天只用一点点洗一次 至于毛孔收缩和黑头消失还有待观察 毕竟才用了三次,控油;NULL;黑头;皮肤;,挺好;干燥;消失;未过敏;,1;-1;0;1;
102,终于收到了等了一个星期，但是居然盖着电池那块东西是没有的，望补全。。,,,
103,真心的不好用，送的胶布也小，介意你们不要买，我问客服，客服也不理不睬。,NULL;,不好用;,-1;
104,不错，用着很好,NULL;用着;,不错;很好;,1;1;
